Applicant_Name,Medical_Specialty,Study_Name
Stryker Neurovascular,Neurology,ATLAS Study
Surmodics; Inc.,Cardiovascular,TRANSCEND Continued Follow-up Study
SYNCARDIA SYSTEMS; LLC,Cardiovascular,Enhanced Surveillance
SYNCARDIA SYSTEMS; LLC,Cardiovascular,Companion 2 Driver System PAS
SYNCARDIA SYSTEMS; LLC,Cardiovascular,INTERMACS Companion
TEOXANE S.A.,General & Plastic Surgery,TEO-PAS-2302
TEOXANE S.A.,General & Plastic Surgery,Teoxane Lip Fullness Scale (TLFS) PAS
TheraBionic; Inc.,General & Plastic Surgery,The TheraBionic P1 Post-Approval Study
TransMedics; Inc,Gastroenterology/Urology,EXPAND Continuation PAS
TransMedics; Inc,Gastroenterology/Urology,OCS-LUNG-PAS
TransMedics; Inc,Gastroenterology/Urology,TOP PAS Registry
TransMedics; Inc,Gastroenterology/Urology,INSPIRE Continuation PAS
TransMedics; Inc.,Cardiovascular,OCS Heart EXPAND+CAP Continued f/u PAS
TransMedics; Inc.,Cardiovascular,Post-commercialization DBD New Enrollment Study
TransMedics; Inc.,Cardiovascular,Post-commercialization DCD New Enrollment Study
TransMedics; Inc.,Cardiovascular,Continued FU of the DCD Heart Premarket Cohort
TransMedics; Inc.,Gastroenterology/Urology,PROTECT Continuation PAS
TransMedics; Inc.,Gastroenterology/Urology,PROTECT CAP Continuation PAS
TransMedics; Inc.,Gastroenterology/Urology,OLP New Enrollment PAS
TriReme Medical; LLC,Cardiovascular,The Chocolate Touch Continued Follow-up Study
UROMEDICA INC,Gastroenterology/Urology,ProAct Post-Approval Study
Urotronic; Inc,Gastroenterology/Urology,PINNACLE Study
Urotronic; Inc,Gastroenterology/Urology,PEAK PAS
Urotronic; Inc.,Gastroenterology/Urology,STREAM PAS (PR1275)
Urotronic; Inc.,Gastroenterology/Urology,ROBUST-LT Post-Approval Study (PR1277)
Urotronic; Inc.,Gastroenterology/Urology,URINATE PAS (PR1276)
Valencia Technologies Corporation,Gastroenterology/Urology,Post-Approval Study of eCoin - RECIPE
Valencia Technologies Corporation,Gastroenterology/Urology,Continued Follow-Up of G170301 Clinical Study
Vascutek Ltd.,Cardiovascular,EXTEND Post-Approval Study
Ventana Medical Systems Inc (Roche Tissue Diagnostics),Pathology,KEYTRUDA PAS
Vesper Medical; Inc.,Cardiovascular,VIVID Continued Follow-up Study
W. L. Gore & Associates; Inc.,Cardiovascular,Continued Follow-up of the IDE Study
W. L. Gore & Associates; Inc.,Cardiovascular,Post-Market Surveillance Study
W. L. GORE & ASSOCIATES; INC.,Cardiovascular,TAG Post-Approval Study
W. L. GORE & ASSOCIATES; INC.,Cardiovascular,Comprehensive/Linked-Registry Based Surv
W. L. Gore and Associates; Inc.,Cardiovascular,Cont f/u of the IDE Study Subjects
W.L. Gore & Associates; Inc.,Cardiovascular,Continued Follow-up of the IDE Study Subjects
W.L. Gore & Associates; Inc.,Cardiovascular,GORE TAMBE Post-Approval Study
W.L. GORE & ASSOCIATES;INC,Cardiovascular,Continued f/u of IDE Cohort
W.L. GORE & ASSOCIATES;INC,Cardiovascular,GORE CARDIOFORM New Enrollment PAS
WILLIAM COOK EUROPE APS,Cardiovascular,Continued f/u of pivotal study
WILLIAM COOK EUROPE APS,Cardiovascular,SVS VQI Postmarket Surveillance 
WILSON-COOK MEDICAL INC.,Gastroenterology/Urology,Flourish Real-World Evidence PAS
WILSON-COOK MEDICAL INC.,Gastroenterology/Urology,Flourish Post-Approval Study
Xtant Medical Holdings; Inc.,Orthopedic,Coflex Long-Term PAS
Xtant Medical Holdings; Inc.,Orthopedic,Coflex Actual Practice PAS
Xtant Medical Holdings; Inc.,Orthopedic,Coflex Actual Practice PAS USA
XVIVO Perfusion; Inc.,Gastroenterology/Urology,NOVEL/NOVEL Ext Cont Long Term PAS
XVIVO Perfusion; Inc.,Gastroenterology/Urology,Long Term Eval PAS of XPS System 
Zimmer Biomet Spine; Inc.,Orthopedic,The Tether Vertebral Tethering System PAS
Zimmer Biomet Spine; Inc.,Orthopedic,Long Term PAS
Zimmer Biomet Spine; Inc.,Orthopedic,Enhanced Surveillance System
Zimmer Biomet Spine; Inc.,Orthopedic,Retrieval Analysis
Zimmer Biomet Spine; Inc.,Orthopedic,Extended f/u of premarket cohort
Zimmer Biomet Spine; Inc.,Orthopedic,Enhanced Surveillance System
Zimmer Biomet Spine; Inc.,Orthopedic,Retrieval Analysis
ZIMMER; INC.,Orthopedic,Long term
ZIMMER; INC.,Orthopedic,Trilogy PAS
ZOLL Circulation; Inc.,Cardiovascular,New Enrollment Study
ZOLL MEDICAL CORPORATION,Cardiovascular,Reconfirmation Analysis Mode Algorithm PAS
ZOLL MEDICAL CORPORATION,Cardiovascular,AED 3 and Pad Placement PAS
